"Event ID","Title","Description","Start Date","End Date","Start Time","End Time","Setup","Teardown","Location","Library Branch","Event Organizer","Presenter","Audiences","Categories","Publishing Status","Internal Tags","Event Note","Registration Required","In-Person Seats","Online Seats","Confirmed Registrations","Waiting-List Registrations","Cancelled Registrations","Anticipated Attendance","Actual Attendance (In Person)","Actual Attendance (Online)","Confirmed Attendance","Event URL"
"12196427","Crafty Attic Series","Come join us in the Palmetto Makerspace where we do crafts that would remind you of what you can find in your grandparents attic! Something old? Something new? Who knows. Different innovative craft every month. Registration required.  ","2024-06-29","2024-06-29","10:00","12:00","","","Conference Room","Palmetto Branch Library","Tiffany Grimm","","Adults (18+)","Crafts","Published","Friends-funded","","Yes","12","0","12","2","3","0","10","","0","https://manateelibrary.libcal.com/event/12196427"
"12234489","Getting Started with Podcasting","Take a dive into the basics of podcasting, from coming up with topics, to brainstorming, to the basics of the different varieties of tools and technology are available. Take some time to learn and ask questions about how to get started.","2024-06-29","2024-06-29","10:00","11:00","","","Meeting Room","Central Library","Chelsea B. - Manatee County Public Library","","Adults (18+), Teens (13-18 years)","Arts & Entertainment, Technology","Published","Free","","Yes","10","0","9","0","2","0","7","","0","https://manateelibrary.libcal.com/event/12234489"
"12196233","Up, Up 7 Away!","This spellbinding special event introduces children to the principles of air and pressure. Children are amazed as a soda bottle is crushed before their very eyes and understand how pressure affects the world around us. A hot air balloon will be created and a giant beach ball will levitate. Giant fog vortexes will be created, and in the grand finale, volunteers will experience the power of air pressure, and frictionless motion as they ride around on our amazing Mad Science hovercraft. No registration required.   ","2024-06-29","2024-06-29","10:00","11:00","","","Auditorium","Palmetto Branch Library","Keelia M - Manatee County Public Library System","Mad Science, Tampa Bay","Children (4-7 years), Tweens (8-12 years), Families","Science/Nature/Environment, Summer Learning, Technology > STEM","Published","Friends-funded","","No","0","0","0","0","0","0","64","","0","https://manateelibrary.libcal.com/event/12196233"
"12533377","Who Was Alexander Hamilton?","This presentation provides an overview of the life and accomplishments of Alexander Hamilton, one of the United States of America’s most important founders. It covers his time as a soldier in the American Revolution, his career as a lawyer, his role as the first Secretary of the Treasury, and much more! ","2024-06-29","2024-06-29","10:00","11:00","","","Meeting Room A (#127)","Lakewood Ranch Library","Tiffany Mautino","Madi Frick","Adults (18+), All Ages","Education, FLORIDA, History & Genealogy","Published","","","Yes","56","0","56","4","2","20","41","","0","https://manateelibrary.libcal.com/event/12533377"
"12307239","Youth Birding Workshop with Manatee County Audubon Society","Calling all bird lovers! Please join us for a presentation from the Manatee County Audubon Society. They’ll teach the kids all about the birds we see in our area. Please register each person attending, both kids and adults.","2024-06-29","2024-06-29","10:00","11:00","","","Meeting Room","Rocky Bluff Branch Library","Jenn L-Manatee","Manatee County Audubon Society","Children (4-7 years), Tweens (8-12 years)","Science/Nature/Environment","Published","Free","","Yes","40","0","40","0","1","0","30","","0","https://manateelibrary.libcal.com/event/12307239"
"12208756","Peter Pan: Presented by Miss Chris and the Braden River Puppeteers","Enoy a new adventure with Peter Pan, plus a craft.","2024-06-29","2024-06-29","11:00","12:00","","","Meeting Room 102","Braden River Branch Library","Chris Culp","","Preschool (3-5 years), Children (4-7 years), Tweens (8-12 years)","Arts & Entertainment, Crafts, Summer Learning","Published","Free","","No","0","0","0","0","0","0","127","","0","https://manateelibrary.libcal.com/event/12208756"
"12210621","Club del Libro/Spanish Book Club: Nuestra Parte de Noche, by Mariana Enriquez","El club del libro se reúne el ultimo sabado de cada mes.","2024-06-29","2024-06-29","13:00","14:00","","","Meeting Room","Central Library","Selena Palacios","","Adults (18+)","En Espanol, Literacy > Book Clubs & Author Talks","Published","Free","","No","0","0","0","0","0","0","2","","0","https://manateelibrary.libcal.com/event/12210621"
"12668422","SunCoast Blood Centers: Blood Drive","Please visit us in the parking lot at the Lakewood Ranch Library to donate. Walk ins are welcome but appointments are appreciated! Please visit this website to make an appointment.","2024-06-29","2024-06-29","13:30","16:30","","","Library Grounds","Lakewood Ranch Library","Tiffany Mautino","Suncoast Blood","Adults (18+)","Health/Fitness/Wellness, Special Event","Published","","","No","0","0","0","0","0","30","15","","0","https://manateelibrary.libcal.com/event/12668422"
"12202234","Minecrafter's Guild","Guild members will be welcomed each week for a 2-hour interest driven meet up filled with creative arts, technology, book clubs, games, snacks, and friends! Wi-Fi is available for crafters to play in the virtual world on their own devices. Building tutorials will be provided by Guild Master K8ykat and Peers. Craft Friendships, build skills, and have fun.

Intended for ages 7+

 
","2024-06-29","2024-06-29","14:00","16:00","","","Meeting Room","Rocky Bluff Branch Library","Kaitlynn Bosley","","Tweens (8-12 years), Teens (13-18 years)","Fun & Games","Published","Free","","Yes","30","0","17","0","2","0","27","","0","https://manateelibrary.libcal.com/event/12202234"
"12201454","Baby Storytime","Join us for songs, rhymes, and stories for babies ages 0-18 Months. We will also have optional play time after to connect with other new parents and caregivers!","2024-07-01","2024-07-01","10:00","10:30","","","Story Time Room (#131)","Lakewood Ranch Library","Elise Montes","","Babies (0-18 months)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","35","","0","https://manateelibrary.libcal.com/event/12201454"
"12237134","Baby Storytime","Join us for interactive story-times with age-appropriate themes and activities.","2024-07-01","2024-07-01","10:00","11:00","","","Children's Room","Central Library","Renee S.-Manatee County Public Library","","Babies (0-18 months)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","7","","0","https://manateelibrary.libcal.com/event/12237134"
"12568072","Monday Matinee Movies: Teenage Mutant Ninja Turtles--Mutant Mahem","Spend your Monday morning relaxing in front of the big screen! Come grab a seat at and some snacks! ","2024-07-01","2024-07-01","10:00","12:00","","","Auditorium","Palmetto Branch Library","Keelia M - Manatee County Public Library System","","All Ages","Film","Published","Free","","No","0","0","0","0","0","0","0","","0","https://manateelibrary.libcal.com/event/12568072"
"12219426","Public Health Information","

Representatives from the Florida Department of Health in Manatee County will be on hand to share info and handouts about the following topics: 

 ·    UV Safety Month

·    Minority Mental Health Month

·    Dental Hygiene



","2024-07-01","2024-07-01","10:00","12:00","","","Lobby Table","Central Library","Chelsea B. - Manatee County Public Library","Florida Department of Health","Adults (18+)","Health/Fitness/Wellness","Published","Free","","No","0","0","0","0","0","0","20","","0","https://manateelibrary.libcal.com/event/12219426"
"12210453","Tai Chi/Qigong Class","Participants will be led through a variety of Tai Chi and Qigong movements for physical and mental health.","2024-07-01","2024-07-01","10:00","11:00","","","Meeting Room","South Manatee Branch Library","David Breakfield, South Manatee Library Supervisor","Tom Gartside","Adults (18+)","Health/Fitness/Wellness","Published","Friends-funded","","Yes","20","0","20","2","2","0","23","","0","https://manateelibrary.libcal.com/event/12210453"
"12201474","Preschool Storytime","Join us for songs, rhymes, and stories for children ages 3-5.  ","2024-07-01","2024-07-01","11:00","11:30","","","Story Time Room (#131)","Lakewood Ranch Library","Elise Montes","","Preschool (3-5 years)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","40","","0","https://manateelibrary.libcal.com/event/12201474"
"12183087","Rocky Bluff Bridge Club","Join us at Rocky Bluff Library for weekly Bridge games. Bridge, known as the ultimate trick-taking card game, is played in groups of 4 and is always a fun time. All skill levels are welcome!","2024-07-01","2024-07-01","11:30","14:30","","","Meeting Room","Rocky Bluff Branch Library","Jessica Franklin- Manatee County Public Library System","","Adults (18+)","Fun & Games","Published","Free","","No","0","0","0","0","0","0","10","","0","https://manateelibrary.libcal.com/event/12183087"
"12488894","Musical Motion","Presented by Parenting Matters

Musical Motion is a fun parent-child learn & play class that encourages bonding while developing early learning and literacy skills in children. Sessions focus on creative activities that enhance brain development and build preschoolers’ social skills, language skills,  motor skills, and more. In English and Spanish.

For ages 0-5!","2024-07-01","2024-07-01","12:30","13:30","","","Auditorium","Central Library","Renee S.-Manatee County Public Library","","Babies (0-18 months), Preschool (3-5 years), Families","Education, Literacy","Published","Foundation-funded","","No","0","0","0","0","0","0","18","","0","https://manateelibrary.libcal.com/event/12488894"
"12198446","Crafternoons","Get together with friends and family and get creative! Each week will be a different craft that is appropriate for ages 10+. Hosted by local artist, Enith Marin. Supplies are provided. Registration is required. 

Sponsored by the Palmetto Friends of the Library.","2024-07-01","2024-07-01","14:00","16:00","","","Auditorium","Palmetto Branch Library","Chelsea B. - Manatee County Public Library","","All Ages","Crafts","Published","Friends-funded","","Yes","20","0","20","1","4","0","21","","0","https://manateelibrary.libcal.com/event/12198446"
"12181814","Dungeons & Dragons for Teens","Join Dungeon Master Lauren and jump into the magical world of Dungeons & Dragons. Create your own character to journey through a campaign specially created for teens. Beginners welcome! Registration is required.

 ","2024-07-01","2024-07-01","14:00","16:00","","","Studio 70","Braden River Branch Library","Rachel Scharbo","Lauren from Descent Into Gaming","Teens (13-18 years)","Fun & Games","Published","Free","","Yes","10","0","6","0","2","0","7","","0","https://manateelibrary.libcal.com/event/12181814"
"12199444","Movie Night: Men In Black (PG-13)","Join us in celebrating Summer Movie Blockbusters from the past! Here come the Men in Black! In the summer of 1997, Men in Black grossed over $230 million domestically making it the #1 highest grossing movie of the summer. The MiB movie was based on a series of Marvel comics and the movie in turn spawned 3 more movies, an animated tv series, video games and a ride at Universal. Come on out to the library and enjoy the movie! Popcorn and drinks will be provided, but feel free to bring your own snacks. The movie will start at 5:15 pm and will run for 1 hour and 38 minutes. ","2024-07-01","2024-07-01","17:15","19:30","","","Meeting Room A (#127)","Lakewood Ranch Library","Miranda Johnson","Miranda Johnson","Adults (18+)","Film","Published","Friends-funded","","Yes","30","0","6","0","1","0","2","","0","https://manateelibrary.libcal.com/event/12199444"
"12207151","Bingo Night!","Play bingo, have fun, win books!","2024-07-01","2024-07-01","18:00","19:00","","","Meeting Room 102","Braden River Branch Library","Susan Hustwit","","Adults (18+)","Fun & Games","Published","Free","","Yes","40","0","11","0","0","0","15","","0","https://manateelibrary.libcal.com/event/12207151"
"12466879","40 Carrots Partners in Play - Central Branch","Drop in to enjoy a special uninterrupted playtime with your child in our FREE Partners in Play® (PIP) groups. Meet our friendly Parenting Educators and discover how play and learning go hand-in-hand. First come, first serve. Limit of 12 families.","2024-07-02","2024-07-02","09:45","10:45","","","Children's Room","Central Library","Chris O'Hara","","Babies (0-18 months), Preschool (3-5 years)","Education, Fun & Games, Literacy","Published","Free","","No","0","0","0","0","0","0","15","","0","https://manateelibrary.libcal.com/event/12466879"
"12192342","Digeridoo Down Under","Join us on an epic adventure to the Land Down Under, where we'll hear otherworldly sounds from the didgeridoo, we'll explore the Great Barrier Reef and the Outback, we'll learn about amazing creatures like kangaroos and koalas ... and much more! The DDU Show is an energetic fusion of Australian music, culture, comedy, character building, storytelling, and audience participation. It's interactive, educational, motivational, and super fun for all ages!

To ensure the smooth flow of our program and out of respect for our presenters and attendees, we kindly request punctual arrival. Late arrivals may find it challenging to join the program once it has started.","2024-07-02","2024-07-02","10:00","11:00","","","Meeting Room","Rocky Bluff Branch Library","Jenn L-Manatee","","Preschool (3-5 years), Children (4-7 years), Tweens (8-12 years)","Special Event, Sponsored by the Friends of the Library, Summer Learning","Published","Friends-funded","","No","0","0","0","0","0","0","116","","0","https://manateelibrary.libcal.com/event/12192342"
"12177660","Family Storytime","Calling all Families for creative play and interactive fun.","2024-07-02","2024-07-02","10:00","11:00","","","Meeting Room","Island Branch Library","Savannah Byers","","Babies (0-18 months), Preschool (3-5 years), Children (4-7 years), Families, Toddlers (18 months-3 years)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","23","","0","https://manateelibrary.libcal.com/event/12177660"
"12201492","Toddler Storytime"," Join us for stories, songs, and rhymes and lots of movement for ages 18 months to 3 years. ","2024-07-02","2024-07-02","10:00","10:30","","","Story Time Room (#131)","Lakewood Ranch Library","Elise Montes","","Toddlers (18 months-3 years)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","38","","0","https://manateelibrary.libcal.com/event/12201492"
"12284672","Toddler Storytime","Join us for stories, songs, and rhymes and lots of movement for ages 18 months to 3 years. ","2024-07-02","2024-07-02","10:45","11:15","","","Story Time Room (#131)","Lakewood Ranch Library","Elise Montes","","Toddlers (18 months-3 years)","Literacy > Storytimes","Published","Free","","No","0","0","0","0","0","0","40","","0","https://manateelibrary.libcal.com/event/12284672"
"12208211","One-on-One Tech Help (English)","One-on-One tech assistance: Androids, iPhones, tablets, laptops, e-books/audiobooks, and more. NOTE: We cannot repair devices and cannot fill out forms for patrons.","2024-07-02","2024-07-02","11:00","11:30","","","","Braden River Branch Library","Susan Hustwit","","Adults (18+)","Technology > One-on-One Help ","Published","Free","","Yes","1","0","1","0","0","0","1","","0","https://manateelibrary.libcal.com/event/12208211"
